avg_sentence_length,sentence_length_std,type_token_ratio,stopword_ratio,pos_distribution_PUNCT,pos_distribution_PROPN,pos_distribution_DET,pos_distribution_ADJ,pos_distribution_NOUN,pos_distribution_AUX,pos_distribution_ADV,pos_distribution_VERB,pos_distribution_ADP,pos_distribution_CCONJ,pos_distribution_NUM,pos_distribution_PART,pos_distribution_PRON,pos_distribution_SCONJ,redundancy_score,perplexity,num_sentences,num_tokens,label,pos_distribution_INTJ,pos_distribution_X,pos_distribution_SYM,avg_sentence_similarity,max_similarity
20.8,10.920622692868754,0.5194805194805194,0.34577114427860695,0.13930348258706468,0.05970149253731343,0.03731343283582089,0.05970149253731343,0.236318407960199,0.029850746268656716,0.024875621890547265,0.08955223880597014,0.09203980099502487,0.029850746268656716,0.004975124378109453,0.029850746268656716,0.08955223880597014,0.0024875621890547263,0.0,11.688726425170898,20,402,ai,0.0024875621890547263,0.06467661691542288,0.007462686567164179,0.0,0.0
21.92,10.508739220287085,0.13052858683926646,0.01683816651075772,0.11599625818521983,0.7857811038353602,0.0,0.011225444340505144,0.047708138447146865,0.015902712815715623,0.0,0.005612722170252572,0.0009354536950420954,0.0,0.0,0.0,0.0,0.0,0.13959183673469389,16.01153564453125,50,1069,ai,0.0037418147801683817,0.013096351730589336,0.0,0.0,0.0
30.352941176470587,18.139787846449224,0.61198738170347,0.18930041152263374,0.2674897119341564,0.1111111111111111,0.037037037037037035,0.0823045267489712,0.21810699588477367,0.00411522633744856,0.0102880658436214,0.07613168724279835,0.059670781893004114,0.043209876543209874,0.018518518518518517,0.012345679012345678,0.02880658436213992,0.0,0.007352941176470588,15.240089416503906,17,486,ai,0.0,0.02880658436213992,0.00205761316872428,0.0,0.0
28.19047619047619,12.76758935228106,0.297423887587822,0.0,0.2171628721541156,0.7075306479859895,0.0,0.008756567425569177,0.05604203152364273,0.0,0.0017513134851138354,0.0070052539404553416,0.0,0.0,0.0,0.0,0.0,0.0,0.06190476190476191,18.98749542236328,21,571,ai,0.0,0.0017513134851138354,0.0,0.0,0.0
28.761904761904763,27.0922669724262,0.3257918552036199,0.0,0.12116040955631399,0.6313993174061433,0.0034129692832764505,0.015358361774744027,0.1416382252559727,0.0017064846416382253,0.006825938566552901,0.027303754266211604,0.020477815699658702,0.0,0.01877133105802048,0.0017064846416382253,0.0,0.0,0.12857142857142856,6.986422538757324,21,586,ai,0.0017064846416382253,0.008532423208191127,0.0,0.0,0.0
27.8,35.364671637101345,0.234375,0.0,0.17009345794392525,0.5177570093457944,0.0,0.018691588785046728,0.14953271028037382,0.003738317757009346,0.005607476635514018,0.044859813084112146,0.013084112149532711,0.001869158878504673,0.044859813084112146,0.0,0.001869158878504673,0.003738317757009346,0.1,3.6575069427490234,20,535,ai,0.0,0.016822429906542057,0.007476635514018692,0.0,0.0
31.75,9.211632139130757,0.5230263157894737,0.33153638814016173,0.14824797843665768,0.09433962264150944,0.0889487870619946,0.09703504043126684,0.2587601078167116,0.04043126684636118,0.013477088948787063,0.08086253369272237,0.12129380053908356,0.016172506738544475,0.01078167115902965,0.008086253369272238,0.018867924528301886,0.0026954177897574125,0.0,11.224679946899414,12,371,post_edited_ai,0.0,0.0,0.0,0.0,0.0
23.2,22.306052990163906,0.36314363143631434,0.0,0.11233480176211454,0.6607929515418502,0.0,0.015418502202643172,0.1145374449339207,0.0022026431718061676,0.0022026431718061676,0.03303964757709251,0.011013215859030838,0.0,0.022026431718061675,0.0,0.0022026431718061676,0.0,0.1631578947368421,5.596961498260498,20,454,post_edited_ai,0.015418502202643172,0.00881057268722467,0.0,0.0,0.0
20.571428571428573,13.329421194776433,0.4790697674418605,0.44485294117647056,0.13970588235294118,0.022058823529411766,0.025735294117647058,0.022058823529411766,0.18382352941176472,0.058823529411764705,0.03676470588235294,0.14338235294117646,0.07352941176470588,0.022058823529411766,0.0,0.051470588235294115,0.12867647058823528,0.029411764705882353,0.01098901098901099,8.819332122802734,14,272,ai,0.011029411764705883,0.04411764705882353,0.007352941176470588,0.0,0.0
30.304347826086957,20.831487000731023,0.4260485651214128,0.31137724550898205,0.25149700598802394,0.04940119760479042,0.059880239520958084,0.040419161676646706,0.18712574850299402,0.020958083832335328,0.020958083832335328,0.12874251497005987,0.0718562874251497,0.0344311377245509,0.038922155688622756,0.017964071856287425,0.05239520958083832,0.0029940119760479044,0.0,7.309260368347168,23,668,ai,0.0029940119760479044,0.010479041916167664,0.008982035928143712,0.0,0.0
